ID,Date,City,AQI,PM2.5,PM10,NO2,SO2,CO,O3,Air_Quality
1,01-01-2024,Mumbai,151,67,32,99,37,1.25,45,Moderate
2,02-01-2024,Kanpur,248,289,64,80,56,0.34,33,Poor
3,03-01-2024,Chennai,248,129,278,82,5,2.61,176,Poor
4,04-01-2024,Lucknow,227,224,132,62,77,1.4,11,Poor
5,05-01-2024,Mumbai,220,226,194,40,21,1.13,96,Poor
6,06-01-2024,Patna,170,57,214,17,47,3.84,164,Moderate
7,07-01-2024,Mumbai,194,32,393,63,70,0.74,106,Moderate
8,08-01-2024,Delhi,315,292,170,111,48,2.68,27,Very Poor
9,09-01-2024,Patna,178,126,168,15,31,3.93,107,Moderate
10,10-01-2024,Kanpur,322,242,345,111,48,0.9,100,Very Poor
11,11-01-2024,Chennai,264,146,379,92,11,2.82,53,Poor
12,12-01-2024,Chennai,202,135,103,64,50,1.36,173,Poor
13,13-01-2024,Jaipur,189,122,370,46,9,1.18,18,Moderate
14,14-01-2024,Jaipur,230,215,157,13,29,4.13,155,Poor
15,15-01-2024,Kolkata,274,118,355,68,52,4,174,Poor
16,16-01-2024,Patna,163,83,155,22,33,3.4,147,Moderate
17,17-01-2024,Chennai,257,229,318,56,48,1.14,45,Poor
18,18-01-2024,Lucknow,276,262,66,101,8,3.9,49,Poor
19,19-01-2024,Chennai,247,226,325,13,51,1.84,129,Poor
20,20-01-2024,Chennai,261,138,303,115,3,3.13,39,Poor
21,21-01-2024,Kolkata,210,146,348,48,16,1.46,50,Poor
22,22-01-2024,Chennai,242,11,389,117,35,4.38,55,Poor
23,23-01-2024,Jaipur,192,64,340,43,66,2.82,49,Moderate
24,24-01-2024,Jaipur,283,92,296,104,69,4.15,163,Poor
25,25-01-2024,Kanpur,222,260,29,19,48,3.98,88,Poor
26,26-01-2024,Kolkata,212,39,143,117,74,4.27,31,Poor
27,27-01-2024,Chennai,202,45,292,103,18,0.75,131,Poor
28,28-01-2024,Chennai,192,94,155,72,79,2.02,64,Moderate
29,29-01-2024,Jaipur,264,112,385,44,53,4.48,176,Poor
30,30-01-2024,Jaipur,246,234,284,62,17,1.27,26,Poor
31,31-01-2024,Mumbai,173,20,321,75,31,2.73,11,Moderate
32,01-02-2024,Chennai,104,40,137,13,6,3.9,28,Moderate
33,02-02-2024,Hyderabad,208,131,162,90,64,1.12,43,Poor
34,03-02-2024,Mumbai,305,252,144,105,62,3.67,58,Very Poor
35,04-02-2024,Delhi,209,59,357,60,47,2.02,129,Poor
36,05-02-2024,Kanpur,142,60,51,56,45,3.64,37,Moderate
37,06-02-2024,Patna,172,108,117,73,59,0.8,56,Moderate
38,07-02-2024,Mumbai,299,246,147,116,11,2.11,150,Poor
39,08-02-2024,Lucknow,205,35,353,74,3,4.37,70,Poor
40,09-02-2024,Lucknow,268,218,268,66,29,3.92,25,Poor
41,10-02-2024,Patna,226,204,21,54,35,4.18,126,Poor
42,11-02-2024,Lucknow,345,226,376,98,73,3.05,134,Very Poor
43,12-02-2024,Delhi,172,107,171,32,9,2.69,148,Moderate
44,13-02-2024,Lucknow,177,170,49,11,76,2.25,145,Moderate
45,14-02-2024,Kanpur,105,39,280,15,25,0.49,27,Moderate
46,15-02-2024,Delhi,285,216,81,118,74,1.26,162,Poor
47,16-02-2024,Patna,210,51,234,89,76,2.63,90,Poor
48,17-02-2024,Lucknow,253,114,362,96,42,1.23,111,Poor
49,18-02-2024,Hyderabad,207,163,254,45,11,0.24,169,Poor
50,19-02-2024,Jaipur,141,61,57,73,29,2.38,43,Moderate
51,20-02-2024,Patna,143,45,145,52,38,0.88,149,Moderate
52,21-02-2024,Mumbai,289,280,24,90,72,1.49,179,Poor
53,22-02-2024,Patna,133,78,155,19,15,3.39,49,Moderate
54,23-02-2024,Patna,226,154,329,31,45,1.08,172,Poor
55,24-02-2024,Patna,249,268,270,37,8,0.6,118,Poor
56,25-02-2024,Lucknow,108,32,21,47,18,2.94,77,Moderate
57,26-02-2024,Mumbai,304,236,302,95,56,2.61,38,Very Poor
58,27-02-2024,Bhopal,161,86,299,9,49,2.7,47,Moderate
59,28-02-2024,Jaipur,140,75,41,44,48,4.07,20,Moderate
60,29-02-2024,Bhopal,213,117,369,36,15,1.72,153,Poor
61,01-03-2024,Bhopal,226,89,141,115,22,4.4,55,Poor
62,02-03-2024,Kanpur,184,22,111,99,44,3.56,115,Moderate
63,03-03-2024,Kolkata,203,146,101,105,15,1.84,19,Poor
64,04-03-2024,Kanpur,221,123,122,109,60,1.7,68,Poor
65,05-03-2024,Patna,143,22,357,29,53,1.61,27,Moderate
66,06-03-2024,Jaipur,296,189,348,70,53,3.12,147,Poor
67,07-03-2024,Delhi,157,24,79,117,35,0.97,77,Moderate
68,08-03-2024,Bhopal,210,65,325,60,46,3.33,90,Poor
69,09-03-2024,Bhopal,231,271,79,54,75,1.02,21,Poor
70,10-03-2024,Jaipur,213,10,286,108,70,3.15,60,Poor
71,11-03-2024,Mumbai,275,230,55,90,44,2.88,179,Poor
72,12-03-2024,Chennai,221,163,279,44,54,1.6,85,Poor
73,13-03-2024,Hyderabad,164,75,118,58,50,3.11,54,Moderate
74,14-03-2024,Bhopal,215,164,227,75,2,1.51,63,Poor
75,15-03-2024,Kolkata,263,174,258,61,58,3.11,140,Poor
76,16-03-2024,Hyderabad,201,96,357,15,38,2.42,172,Poor
77,17-03-2024,Kanpur,245,181,67,109,32,3.09,67,Poor
78,18-03-2024,Mumbai,144,85,32,10,33,4.43,166,Moderate
79,19-03-2024,Kolkata,316,243,232,118,75,1.04,108,Very Poor
80,20-03-2024,Bhopal,202,214,144,23,2,4.04,37,Poor
81,21-03-2024,Kanpur,241,122,110,107,68,2.2,152,Poor
82,22-03-2024,Hyderabad,183,72,253,22,61,3.07,153,Moderate
83,23-03-2024,Kolkata,271,172,246,83,66,2.03,150,Poor
84,24-03-2024,Patna,272,91,400,115,62,2.14,73,Poor
85,25-03-2024,Patna,288,276,268,85,32,1.38,29,Poor
86,26-03-2024,Lucknow,193,130,159,47,42,4.04,30,Moderate
87,27-03-2024,Bhopal,158,87,138,54,21,3.24,26,Moderate
88,28-03-2024,Bhopal,256,218,189,74,61,1.99,62,Poor
89,29-03-2024,Bhopal,314,209,319,94,4,3.88,157,Very Poor
90,30-03-2024,Chennai,241,254,23,50,40,3.44,117,Poor
91,31-03-2024,Bhopal,353,289,328,119,30,2.3,79,Very Poor
92,01-04-2024,Lucknow,245,258,34,54,45,3.08,113,Poor
93,02-04-2024,Hyderabad,254,249,85,84,70,0.32,110,Poor
94,03-04-2024,Kolkata,269,298,359,8,12,2.96,44,Poor
95,04-04-2024,Jaipur,147,103,45,38,50,1.61,126,Moderate
96,05-04-2024,Kolkata,201,182,214,40,55,1.28,30,Poor
97,06-04-2024,Delhi,108,19,296,11,46,1.16,27,Moderate
98,07-04-2024,Lucknow,109,25,146,30,4,2.87,71,Moderate
99,08-04-2024,Patna,304,252,362,19,74,4.28,129,Very Poor
100,09-04-2024,Lucknow,260,198,105,82,79,4.34,39,Poor
101,10-04-2024,Bhopal,237,169,75,79,5,4.19,157,Poor
102,11-04-2024,Kanpur,272,213,386,30,11,2.75,170,Poor
103,12-04-2024,Mumbai,271,62,376,103,40,3.86,163,Poor
104,13-04-2024,Mumbai,259,299,41,49,70,2.04,104,Poor
105,14-04-2024,Mumbai,309,269,351,48,3,3.85,135,Very Poor
106,15-04-2024,Lucknow,299,231,205,86,60,3.24,121,Poor
107,16-04-2024,Kolkata,330,277,353,39,80,3.68,147,Very Poor
108,17-04-2024,Mumbai,311,248,243,110,77,1.35,72,Very Poor
109,18-04-2024,Jaipur,221,152,250,36,61,2.65,107,Poor
110,19-04-2024,Jaipur,192,24,273,113,43,0.98,64,Moderate
111,20-04-2024,Chennai,213,142,194,40,78,3.22,80,Poor
112,21-04-2024,Kolkata,126,15,284,29,12,1.24,114,Moderate
113,22-04-2024,Kolkata,325,294,143,93,62,2.98,135,Very Poor
114,23-04-2024,Patna,98,18,67,42,30,1.94,72,Satisfactory
115,24-04-2024,Jaipur,278,198,262,75,69,1.68,150,Poor
116,25-04-2024,Mumbai,261,190,379,63,36,1.52,69,Poor
117,26-04-2024,Kanpur,181,108,181,20,70,4.29,57,Moderate
118,27-04-2024,Hyderabad,265,120,398,66,37,3.32,144,Poor
119,28-04-2024,Lucknow,222,154,71,111,26,1.47,102,Poor
120,29-04-2024,Delhi,196,164,27,95,70,0.74,21,Moderate
121,30-04-2024,Mumbai,317,293,169,94,18,2.94,135,Very Poor
122,01-05-2024,Lucknow,164,16,313,41,62,2.26,97,Moderate
123,02-05-2024,Bhopal,170,36,149,115,63,0.69,26,Moderate
124,03-05-2024,Patna,246,261,57,78,8,0.85,154,Poor
125,04-05-2024,Hyderabad,161,53,147,20,73,3.49,165,Moderate
126,05-05-2024,Hyderabad,238,125,287,53,59,4.11,86,Poor
127,06-05-2024,Kanpur,249,229,176,77,9,2.82,35,Poor
128,07-05-2024,Chennai,184,118,155,89,12,0.88,54,Moderate
129,08-05-2024,Kolkata,118,48,100,5,54,2.14,162,Moderate
130,09-05-2024,Mumbai,182,159,36,34,38,3.24,126,Moderate
131,10-05-2024,Bhopal,245,129,155,105,77,3.04,60,Poor
132,11-05-2024,Mumbai,176,68,298,33,21,4.11,46,Moderate
133,12-05-2024,Patna,196,40,104,106,41,2.76,155,Moderate
134,13-05-2024,Chennai,244,234,83,64,40,3.21,79,Poor
135,14-05-2024,Jaipur,301,286,272,61,12,2.77,120,Very Poor
136,15-05-2024,Hyderabad,172,138,33,16,31,4.34,157,Moderate
137,16-05-2024,Kolkata,219,20,364,110,36,2.68,54,Poor
138,17-05-2024,Bhopal,309,275,353,61,37,0.98,159,Very Poor
139,18-05-2024,Mumbai,247,261,66,65,46,1.96,92,Poor
140,19-05-2024,Chennai,185,92,188,57,65,1.44,112,Moderate
141,20-05-2024,Bhopal,110,28,252,16,42,1.29,39,Moderate
142,21-05-2024,Kanpur,259,273,20,89,71,2.19,23,Poor
143,22-05-2024,Kanpur,298,275,205,84,65,2.89,23,Poor
144,23-05-2024,Mumbai,209,146,301,21,38,2.08,134,Poor
145,24-05-2024,Chennai,205,24,342,82,32,3.25,89,Poor
146,25-05-2024,Kolkata,137,17,302,57,13,1.17,39,Moderate
147,26-05-2024,Chennai,240,70,351,111,21,2.34,84,Poor
148,27-05-2024,Kolkata,287,149,232,111,63,4.42,72,Poor
149,28-05-2024,Lucknow,285,292,94,54,26,4.16,140,Poor
150,29-05-2024,Patna,198,45,161,103,55,1.66,139,Moderate
151,30-05-2024,Kolkata,197,11,164,97,40,3.8,158,Moderate
152,31-05-2024,Chennai,216,86,248,73,63,1.68,151,Poor
153,01-06-2024,Hyderabad,255,203,253,46,26,4.42,71,Poor
154,02-06-2024,Bhopal,268,206,139,114,54,0.39,131,Poor
155,03-06-2024,Lucknow,293,207,359,106,21,2.33,19,Poor
156,04-06-2024,Mumbai,303,267,322,47,14,3.96,122,Very Poor
157,05-06-2024,Lucknow,255,279,253,6,20,1.96,177,Poor
158,06-06-2024,Mumbai,209,48,260,105,35,1.66,111,Poor
159,07-06-2024,Kolkata,310,178,365,114,70,1.83,91,Very Poor
160,08-06-2024,Kanpur,250,287,38,84,10,1.21,83,Poor
161,09-06-2024,Delhi,132,56,242,17,14,2.11,86,Moderate
162,10-06-2024,Bhopal,176,33,186,106,9,1.46,105,Moderate
163,11-06-2024,Lucknow,182,84,145,72,54,2.63,56,Moderate
164,12-06-2024,Kolkata,185,99,60,83,50,2.86,71,Moderate
165,13-06-2024,Delhi,188,83,138,64,34,2.18,180,Moderate
166,14-06-2024,Jaipur,284,248,167,91,71,0.88,123,Poor
167,15-06-2024,Kanpur,247,163,347,59,34,2.16,87,Poor
168,16-06-2024,Hyderabad,219,206,267,18,32,1.84,101,Poor
169,17-06-2024,Bhopal,270,161,378,42,4,4.41,178,Poor
170,18-06-2024,Patna,212,150,24,77,8,4.12,137,Poor
171,19-06-2024,Hyderabad,252,127,330,107,47,1.14,58,Poor
172,20-06-2024,Delhi,291,138,367,101,19,2.9,170,Poor
173,21-06-2024,Mumbai,189,168,245,9,76,1.77,43,Moderate
174,22-06-2024,Chennai,232,161,187,100,55,0.96,43,Poor
175,23-06-2024,Kolkata,275,197,291,69,36,3.77,75,Poor
176,24-06-2024,Lucknow,237,161,193,107,16,2.21,29,Poor
177,25-06-2024,Jaipur,302,125,366,97,52,4.36,152,Very Poor
178,26-06-2024,Jaipur,138,56,222,6,35,2.51,126,Moderate
179,27-06-2024,Kolkata,213,144,319,53,49,0.67,69,Poor
180,28-06-2024,Kanpur,244,22,337,118,73,1.61,166,Poor
181,29-06-2024,Bhopal,254,42,345,110,61,4.11,87,Poor
182,30-06-2024,Mumbai,104,69,91,10,6,1.51,136,Moderate
183,01-07-2024,Jaipur,205,59,140,118,70,0.78,126,Poor
184,02-07-2024,Mumbai,335,286,234,80,21,4.01,177,Very Poor
185,03-07-2024,Kanpur,277,260,335,57,37,0.34,104,Poor
186,04-07-2024,Chennai,237,237,247,35,48,0.63,104,Poor
187,05-07-2024,Kolkata,180,193,51,55,37,1.02,41,Moderate
188,06-07-2024,Jaipur,197,56,359,32,78,4.38,22,Moderate
189,07-07-2024,Kanpur,231,134,84,105,74,1.08,151,Poor
190,08-07-2024,Delhi,199,120,139,47,20,3.59,162,Moderate
191,09-07-2024,Mumbai,156,151,94,21,71,1.28,54,Moderate
192,10-07-2024,Hyderabad,97,23,87,6,47,3.6,70,Satisfactory
193,11-07-2024,Chennai,152,175,28,27,35,0.43,117,Moderate
194,12-07-2024,Hyderabad,177,68,52,65,59,3.55,141,Moderate
195,13-07-2024,Chennai,193,65,251,69,30,4.27,21,Moderate
196,14-07-2024,Bhopal,234,164,254,87,5,0.46,132,Poor
197,15-07-2024,Mumbai,279,228,371,18,64,3.26,123,Poor
198,16-07-2024,Hyderabad,154,51,184,82,20,0.48,80,Moderate
199,17-07-2024,Patna,347,290,384,46,50,4.48,145,Very Poor
200,18-07-2024,Chennai,273,242,278,82,57,0.63,39,Poor
201,19-07-2024,Bhopal,211,120,240,62,31,1.98,126,Poor
202,20-07-2024,Patna,272,222,393,17,42,2.04,180,Poor
203,21-07-2024,Mumbai,223,201,98,92,62,0.49,31,Poor
204,22-07-2024,Delhi,291,231,69,100,49,3.69,152,Poor
205,23-07-2024,Bhopal,308,297,307,47,17,1.97,180,Very Poor
206,24-07-2024,Chennai,177,36,167,81,41,1.71,157,Moderate
207,25-07-2024,Jaipur,187,118,99,89,63,1.16,37,Moderate
208,26-07-2024,Chennai,265,294,208,19,37,2.67,119,Poor
209,27-07-2024,Patna,249,295,33,82,36,0.32,79,Poor
210,28-07-2024,Bhopal,213,183,199,5,25,3.94,154,Poor
211,29-07-2024,Kanpur,156,45,92,99,5,0.59,145,Moderate
212,30-07-2024,Jaipur,238,202,234,63,45,0.88,89,Poor
213,31-07-2024,Delhi,271,300,325,15,8,0.87,168,Poor
214,01-08-2024,Bhopal,170,51,159,61,56,2.29,123,Moderate
215,02-08-2024,Mumbai,232,149,130,101,67,0.69,120,Poor
216,03-08-2024,Patna,305,155,367,91,77,2.29,180,Very Poor
217,04-08-2024,Patna,127,33,132,55,78,0.44,62,Moderate
218,05-08-2024,Delhi,191,118,90,102,34,1.44,40,Moderate
219,06-08-2024,Chennai,238,264,240,27,18,1.83,68,Poor
220,07-08-2024,Bhopal,330,296,362,108,47,0.51,20,Very Poor
221,08-08-2024,Bhopal,142,19,255,14,42,2.68,156,Moderate
222,09-08-2024,Lucknow,197,223,168,19,53,0.29,93,Moderate
223,10-08-2024,Kanpur,270,245,373,51,13,2.08,37,Poor
224,11-08-2024,Jaipur,269,233,321,56,69,0.54,89,Poor
225,12-08-2024,Mumbai,229,123,190,104,23,0.53,172,Poor
226,13-08-2024,Lucknow,285,281,281,29,46,1.71,175,Poor
227,14-08-2024,Lucknow,151,130,72,23,34,1.05,164,Moderate
228,15-08-2024,Hyderabad,200,48,110,103,65,2.19,154,Moderate
229,16-08-2024,Jaipur,372,239,368,117,74,2.96,169,Very Poor
230,17-08-2024,Patna,213,171,97,61,10,2.22,171,Poor
231,18-08-2024,Kolkata,204,150,322,12,47,2.38,89,Poor
232,19-08-2024,Mumbai,196,241,39,12,49,3.78,29,Moderate
233,20-08-2024,Kolkata,281,269,216,64,76,2.58,20,Poor
234,21-08-2024,Kolkata,202,106,184,82,62,2.36,25,Poor
235,22-08-2024,Delhi,184,62,195,96,12,2.37,54,Moderate
236,23-08-2024,Lucknow,268,136,382,61,58,2.45,166,Poor
237,24-08-2024,Hyderabad,226,196,210,41,51,1.96,96,Poor
238,25-08-2024,Chennai,181,36,343,87,44,0.48,34,Moderate
239,26-08-2024,Mumbai,248,207,165,37,79,3.96,95,Poor
240,27-08-2024,Patna,145,82,199,44,52,0.75,31,Moderate
241,28-08-2024,Mumbai,339,296,212,87,44,3.7,144,Very Poor
242,29-08-2024,Kanpur,239,226,280,51,4,1.76,56,Poor
243,30-08-2024,Mumbai,232,184,268,29,30,4.5,49,Poor
244,31-08-2024,Delhi,237,161,71,69,71,3.79,144,Poor
245,01-09-2024,Lucknow,226,182,336,21,78,1.82,51,Poor
246,02-09-2024,Kolkata,209,94,389,61,7,1.97,70,Poor
247,03-09-2024,Kanpur,213,155,249,34,70,1.23,130,Poor
248,04-09-2024,Bhopal,290,198,367,78,58,2.19,82,Poor
249,05-09-2024,Lucknow,314,267,290,58,22,3.71,164,Very Poor
250,06-09-2024,Mumbai,236,138,46,87,63,3.96,151,Poor
251,07-09-2024,Kolkata,240,274,83,41,12,3.48,79,Poor
252,08-09-2024,Kolkata,280,272,95,111,57,0.59,66,Poor
253,09-09-2024,Kanpur,189,188,33,58,8,1.9,105,Moderate
254,10-09-2024,Jaipur,176,207,61,52,30,0.32,35,Moderate
255,11-09-2024,Lucknow,146,84,90,9,38,4.14,130,Moderate
256,12-09-2024,Patna,285,250,249,83,2,4.1,14,Poor
257,13-09-2024,Patna,195,120,96,75,79,2.47,38,Moderate
258,14-09-2024,Hyderabad,165,131,174,20,8,1.23,173,Moderate
259,15-09-2024,Chennai,197,244,52,19,65,2.77,14,Moderate
260,16-09-2024,Jaipur,227,133,387,23,39,2.05,167,Poor
261,17-09-2024,Chennai,219,133,312,58,25,3.06,31,Poor
262,18-09-2024,Chennai,238,194,54,72,71,2.38,139,Poor
263,19-09-2024,Jaipur,190,20,219,116,62,0.39,109,Moderate
264,20-09-2024,Mumbai,170,139,28,50,10,1.68,178,Moderate
265,21-09-2024,Lucknow,190,180,88,10,47,2.55,174,Moderate
266,22-09-2024,Kolkata,301,247,376,66,25,3.69,26,Very Poor
267,23-09-2024,Jaipur,114,28,170,30,7,3.6,20,Moderate
268,24-09-2024,Kanpur,232,168,283,55,71,2.24,19,Poor
269,25-09-2024,Patna,270,156,202,115,8,3.92,94,Poor
270,26-09-2024,Jaipur,197,73,208,60,53,3.4,108,Moderate
271,27-09-2024,Patna,247,105,274,93,65,1.78,142,Poor
272,28-09-2024,Chennai,186,52,392,59,12,2.05,56,Moderate
273,29-09-2024,Patna,167,160,184,18,12,1.61,85,Moderate
274,30-09-2024,Jaipur,312,238,328,96,56,0.92,123,Very Poor
275,01-10-2024,Patna,272,238,41,98,47,2.84,121,Poor
276,02-10-2024,Delhi,146,39,58,90,53,1.76,50,Moderate
277,03-10-2024,Kanpur,206,83,331,91,58,0.35,27,Poor
278,04-10-2024,Kolkata,218,197,205,54,74,0.34,49,Poor
279,05-10-2024,Jaipur,249,199,210,61,11,2.67,145,Poor
280,06-10-2024,Delhi,244,213,180,88,37,1.27,39,Poor
281,07-10-2024,Patna,228,105,275,71,51,4.13,40,Poor
282,08-10-2024,Kolkata,267,143,380,62,29,4.48,83,Poor
283,09-10-2024,Mumbai,139,112,82,22,11,2.14,123,Moderate
284,10-10-2024,Patna,243,173,361,49,10,2.56,84,Poor
285,11-10-2024,Kanpur,269,90,384,95,24,3.61,140,Poor
286,12-10-2024,Delhi,190,72,122,106,19,1.22,136,Moderate
287,13-10-2024,Lucknow,287,194,303,78,49,2.21,151,Poor
288,14-10-2024,Chennai,159,54,53,44,52,4.5,132,Moderate
289,15-10-2024,Mumbai,289,220,229,110,75,0.52,91,Poor
290,16-10-2024,Hyderabad,312,240,258,92,68,1.68,151,Very Poor
291,17-10-2024,Mumbai,182,103,86,60,66,4.12,24,Moderate
292,18-10-2024,Jaipur,220,275,98,43,23,0.9,67,Poor
293,19-10-2024,Chennai,311,275,165,113,12,1.28,172,Very Poor
294,20-10-2024,Chennai,206,150,84,85,40,2.84,33,Poor
295,21-10-2024,Hyderabad,225,96,323,79,21,0.94,169,Poor
296,22-10-2024,Hyderabad,202,182,308,10,5,0.55,174,Poor
297,23-10-2024,Delhi,244,145,353,31,75,1.99,173,Poor
298,24-10-2024,Kolkata,318,264,341,74,39,2.96,87,Very Poor
299,25-10-2024,Lucknow,224,135,370,56,40,2.15,25,Poor
300,26-10-2024,Lucknow,278,235,232,66,61,1.08,165,Poor
301,27-10-2024,Jaipur,264,170,387,45,46,4.39,43,Poor
302,28-10-2024,Patna,245,273,307,18,42,1.24,41,Poor
303,29-10-2024,Hyderabad,197,240,146,23,14,0.42,108,Moderate
304,30-10-2024,Jaipur,308,224,147,115,22,3.7,157,Very Poor
305,31-10-2024,Kolkata,187,107,101,68,67,2.21,88,Moderate
306,01-11-2024,Kanpur,123,21,66,55,66,2.17,71,Moderate
307,02-11-2024,Kolkata,182,190,44,11,38,2.33,177,Moderate
308,03-11-2024,Jaipur,182,156,294,6,15,2.05,77,Moderate
309,04-11-2024,Kanpur,208,216,207,10,53,0.42,153,Poor
310,05-11-2024,Chennai,237,195,303,41,11,1.86,125,Poor
311,06-11-2024,Bhopal,255,153,339,92,80,0.71,34,Poor
312,07-11-2024,Hyderabad,260,201,193,76,48,3.45,60,Poor
313,08-11-2024,Jaipur,250,270,225,69,7,0.39,45,Poor
314,09-11-2024,Lucknow,296,252,285,63,21,2.81,141,Poor
315,10-11-2024,Patna,250,177,333,45,22,1.89,167,Poor
316,11-11-2024,Patna,311,182,279,111,67,2.49,154,Very Poor
317,12-11-2024,Hyderabad,241,253,28,52,44,3.1,116,Poor
318,13-11-2024,Hyderabad,299,167,391,116,5,2.77,77,Poor
319,14-11-2024,Hyderabad,223,126,389,11,76,2.27,144,Poor
320,15-11-2024,Kanpur,229,204,95,110,33,0.34,38,Poor
321,16-11-2024,Bhopal,131,19,245,45,55,0.85,62,Moderate
322,17-11-2024,Kanpur,315,266,333,65,9,3.23,142,Very Poor
323,18-11-2024,Lucknow,318,297,186,89,63,2.46,90,Very Poor
324,19-11-2024,Patna,292,245,292,48,71,1.72,174,Poor
325,20-11-2024,Patna,231,257,118,36,37,2.6,67,Poor
326,21-11-2024,Chennai,233,157,380,31,64,1.56,99,Poor
327,22-11-2024,Bhopal,199,150,167,20,75,3.11,107,Moderate
328,23-11-2024,Jaipur,167,186,94,42,7,1.44,30,Moderate
329,24-11-2024,Patna,278,236,355,37,63,1.12,147,Poor
330,25-11-2024,Kanpur,299,297,376,39,19,0.67,160,Poor
331,26-11-2024,Delhi,194,134,45,90,69,1.17,69,Moderate
332,27-11-2024,Delhi,148,61,231,47,62,0.63,45,Moderate
333,28-11-2024,Patna,264,291,100,57,62,2.25,61,Poor
334,29-11-2024,Hyderabad,239,174,166,87,9,4.1,32,Poor
335,30-11-2024,Bhopal,255,128,293,99,6,4.13,54,Poor
